# of Point	Longtitude	Lattitude
1	39.245687	-77.676606
2	39.299002	-77.69336
3	39.252226	-77.594483
4	39.172424	-77.753785
5	39.217124	-77.60547
6	39.153257	-77.650788
7	39.126629	-77.71808
8	39.113844	-77.748292
9	39.153257	-77.608216
10	39.138347	-77.562898
11	39.104253	-77.557404
12	39.101869	-77.6275
13	39.110574	-77.571229
14	39.069113	-77.806983
15	39.033423	-77.813977
16	39.012467	-77.74604
17	39.041959	-77.598177
18	39.077645	-77.524245
19	39.107886	-77.516252
20	39.091685	-77.558533
21	39.024258	-77.531251
22	38.975133	-77.533167
23	39.021281	-77.510181
24	39.033186	-77.48528
25	39.024258	-77.587758
26	38.955772	-77.453674
27	38.996004	-77.420172
28	39.014966	-77.424076
29	38.967931	-77.649543
30	39.045617	-77.719453
31	38.970857	-77.63458
32	38.997905	-77.492324
33	38.936635	-77.551683
34	38.905582	-77.499488
35	38.89244	-77.522003
36	39.021365	-77.403286
37	39.034307	-77.407828
38	38.955225	-77.64155
39	39.225046	-77.506696
40	39.019516	-77.909735
41	39.112218	-77.833287
42	39.152815	-77.766495
43	39.037173	-77.617338
44	38.997303	-77.517698
45	39.064642	-77.598407
46	39.040514	-77.490037
47	39.010453	-77.514487
48	39.286348	-77.636764
49	39.264896	-77.638083
50	39.054149	-77.871888
